Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
"Population, total","SP.POP.TOTL","Benin","BEN","3023443","3833939","5133419","6998023","9726380","10014078","10308730","10614844","10932783","11260085","11596779","11940683","12290444","12643123","12996895"
"Population, total","SP.POP.TOTL","Bermuda","BMU","55000","54670","59326","61833","64564","64798","65001","65138","65237","64554","63873","63918","63911","63893","63764"
"Population, total","SP.POP.TOTL","Bhutan","BTN","298894","415257","558442","587207","713331","721145","728889","736357","743274","749761","756121","762096","767459","772506","777486"
"Population, total","SP.POP.TOTL","Bolivia","BOL","4585693","5736088","7096194","8592656","10396246","10569697","10743349","10916987","11090085","11263015","11435533","11606905","11777315","11936162","12079472"
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3815561","4199820","4494310","4179350","3743142","3674374","3617559","3571068","3524324","3480986","3440027","3400129","3360711","3318407","3270943"
"Population, total","SP.POP.TOTL","Botswana","BWA","592244","938578","1341474","1726985","2134037","2175425","2217278","2260376","2305171","2352416","2401840","2451409","2499702","2546402","2588423"
"Population, total","SP.POP.TOTL","Brazil","BRA","96369875","122288383","150706446","175873720","198185302","199977707","201721767","203459650","205188205","206859578","208504960","210166592","211782878","213196304","214326223"
"Population, total","SP.POP.TOTL","British Virgin Islands","VGB","9581","11109","15617","20104","27962","28421","28657","28971","29366","29739","30060","30335","30610","30910","31122"
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","133343","187921","261928","333926","401506","406634","411702","416656","421437","425994","430276","434274","438048","441725","445373"
"Population, total","SP.POP.TOTL","Bulgaria","BGR","8489574","8861535","8718289","8170172","7348328","7305888","7265115","7223938","7177991","7127822","7075947","7025037","6975761","6934015","6877743"
"Population, total","SP.POP.TOTL","Burkina Faso","BFA","5611666","6932967","9131361","11882888","16602651","17113732","17636408","18169842","18718019","19275498","19835858","20392723","20951639","21522626","22100683"
"Population, total","SP.POP.TOTL","Burundi","BDI","3497834","4312834","5483793","6307659","9455733","9795479","10149577","10494913","10727148","10903327","11155593","11493472","11874838","12220227","12551213"
"Population, total","SP.POP.TOTL","Cabo Verde","CPV","287262","317234","364563","458251","527521","533864","539940","546076","552166","558394","564954","571202","577030","582640","587925"
"Population, total","SP.POP.TOTL","Cambodia","KHM","6708525","6198959","8910808","12118841","14573885","14786640","14999683","15210817","15417523","15624584","15830689","16025238","16207746","16396860","16589023"
"Population, total","SP.POP.TOTL","Cameroon","CMR","6452787","8519891","11430520","15091594","20448873","21032684","21632850","22299585","23012646","23711630","24393181","25076747","25782341","26491087","27198628"
"Population, total","SP.POP.TOTL","Canada","CAN","21324000","24515667","27691138","30685730","34339221","34713395","35080992","35434066","35704498","36110803","36545075","37072620","37618495","38028638","38239864"
"Population, total","SP.POP.TOTL","Cayman Islands","CYM","10533","17100","26027","39658","55492","56860","58212","59559","60911","62255","63581","64884","66134","67311","68136"
"Population, total","SP.POP.TOTL","Central African Republic","CAF","2067356","2415276","2809221","3759170","4732022","4773306","4802428","4798734","4819333","4904177","4996741","5094780","5209324","5343020","5457154"
"Population, total","SP.POP.TOTL","Chad","TCD","3667394","4408230","5827069","8259137","12317730","12754906","13216766","13697126","14140274","14592585","15085884","15604210","16126866","16644701","17179740"
"Population, total","SP.POP.TOTL","Channel Islands","CHI","121003","127984","140601","145306","157819","158621","159794","160912","162190","163721","165215","167259","169410","171113","172683"
"Population, total","SP.POP.TOTL","Chile","CHL","9820481","11469828","13342868","15351799","17173573","17341771","17509925","17687108","17870124","18083879","18368577","18701450","19039485","19300315","19493184"
"Population, total","SP.POP.TOTL","China","CHN","818315000","981235000","1135185000","1262645000","1345035000","1354190000","1363240000","1371860000","1379860000","1387790000","1396215000","1402760000","1407745000","1411100000","1412360000"
"Population, total","SP.POP.TOTL","Colombia","COL","20905254","26176195","32601393","39215135","45308899","45782417","46237930","46677947","47119728","47625955","48351671","49276961","50187406","50930662","51516562"
"Population, total","SP.POP.TOTL","Comoros","COM","242351","328328","431119","536758","670071","684553","699393","714612","730216","746232","761664","776313","790986","806166","821625"
"Population, total","SP.POP.TOTL","Congo, Dem. Rep.","COD","20151733","26708686","35987541","48616317","68654269","70997870","73460021","76035588","78656904","81430977","84283273","87087355","89906890","92853164","95894118"
"Population, total","SP.POP.TOTL","Congo, Rep.","COG","1396989","1829256","2385435","3134030","4584216","4713257","4828066","4944861","5064386","5186824","5312340","5441062","5570733","5702174","5835806"
"Population, total","SP.POP.TOTL","Costa Rica","CRI","1855697","2414303","3158253","3979193","4679926","4736593","4791535","4844288","4895242","4945205","4993842","5040734","5084532","5123105","5153957"
"Population, total","SP.POP.TOTL","Cote d'Ivoire","CIV","5477086","8303810","11910540","16799670","21562914","22010712","22469268","22995555","23596741","24213622","24848016","25493988","26147551","26811790","27478249"
"Population, total","SP.POP.TOTL","Croatia","HRV","4412252","4599782","4777368","4468302","4280622","4267558","4255689","4238389","4203604","4174349","4124531","4087843","4065253","4047680","3878981"
"Population, total","SP.POP.TOTL","Cuba","CUB","8869636","9809107","10626680","11105791","11298710","11309290","11321579","11332026","11339894","11342012","11336405","11328244","11316697","11300698","11256372"
"Population, total","SP.POP.TOTL","Curacao","CUW","144739","148041","145400","133860","150831","152088","153822","155909","157980","159664","160175","159336","157441","154947","152369"
"Population, total","SP.POP.TOTL","Cyprus","CYP","640804","679327","788500","948237","1145086","1156556","1166968","1176995","1187280","1197881","1208523","1218831","1228836","1237537","1244188"
"Population, total","SP.POP.TOTL","Czechia","CZE","9858071","10304193","10333355","10255063","10496088","10510785","10514272","10525347","10546059","10566332","10594438","10629928","10671870","10697858","10505772"
"Population, total","SP.POP.TOTL","Denmark","DNK","4928757","5123027","5140939","5339616","5570572","5591572","5614932","5643475","5683483","5728010","5764980","5793636","5814422","5831404","5856733"
"Population, total","SP.POP.TOTL","Djibouti","DJI","144379","324121","577173","742033","936811","954297","971753","989087","1006259","1023261","1040233","1057198","1073994","1090156","1105557"
"Population, total","SP.POP.TOTL","Dominica","DMA","68895","72978","69481","68346","68742","68888","68819","69371","70007","70075","70403","70823","71428","71995","72412"
"Population, total","SP.POP.TOTL","Dominican Republic","DOM","4475871","5755800","7129004","8540791","9903737","10030882","10157051","10282115","10405832","10527592","10647244","10765531","10881882","10999664","11117873"
"Population, total","SP.POP.TOTL","Ecuador","ECU","6172215","8135845","10449837","12626507","15237728","15483883","15722989","15957994","16195902","16439585","16696944","17015672","17343740","17588595","17797737"
"Population, total","SP.POP.TOTL","Egypt, Arab Rep.","EGY","34781986","43748556","57214630","71371371","89200054","91240376","93377890","95592324","97723799","99784030","101789386","103740765","105618671","107465134","109262178"
"Population, total","SP.POP.TOTL","El Salvador","SLV","3619090","4508992","5367179","5958482","6137349","6161289","6185642","6209526","6231066","6250510","6266654","6276342","6280217","6292731","6314167"
"Population, total","SP.POP.TOTL","Equatorial Guinea","GNQ","316955","282509","465549","684977","1144588","1193636","1243941","1295183","1346973","1398927","1450694","1502091","1553031","1596049","1634466"
"Population, total","SP.POP.TOTL","Eritrea","ERI","1272748","1657982","2149960","2392880","3207570","3252596","3296367","3323425","3340006","3365287","3396933","3445374","3498818","3555868","3620312"
"Population, total","SP.POP.TOTL","Estonia","EST","1360076","1477219","1569174","1396985","1327439","1322696","1317997","1314545","1315407","1315790","1317384","1321977","1326898","1329522","1330932"
"Population, total","SP.POP.TOTL","Eswatini","SWZ","442865","598564","854011","1030496","1105371","1111444","1118319","1125865","1133936","1142524","1151390","1160428","1169613","1180655","1192271"
"Population, total","SP.POP.TOTL","Ethiopia","ETH","28308246","34945469","47878073","67031867","91817929","94451280","97084366","99746766","102471895","105293228","108197950","111129438","114120594","117190911","120283026"
"Population, total","SP.POP.TOTL","Faroe Islands","FRO","38416","43054","47479","45660","48386","48392","48418","48465","48816","49500","50230","50955","51681","52415","52889"
"Population, total","SP.POP.TOTL","Fiji","FJI","527634","644582","780430","832509","908355","911059","913453","915560","917200","918371","919019","918996","918465","920422","924610"
"Population, total","SP.POP.TOTL","Finland","FIN","4606307","4779535","4986431","5176209","5388272","5413971","5438972","5461512","5479531","5495303","5508214","5515525","5521606","5529543","5541017"
"Population, total","SP.POP.TOTL","France","FRA","51724116","55052582","58044701","60921384","65345233","65662240","66002289","66312067","66548272","66724104","66918020","67158348","67388001","67571107","67764304"
"Population, total","SP.POP.TOTL","French Polynesia","PYF","117891","163591","211089","250927","285265","286584","288032","289873","291787","293541","295450","297606","299717","301920","304032"
"Population, total","SP.POP.TOTL","Gabon","GAB","597192","749078","983028","1272935","1772500","1836705","1902226","1966855","2028517","2086206","2140215","2192012","2242785","2292573","2341179"
"Population, total","SP.POP.TOTL","Gambia, The","GMB","528731","718586","1040616","1437539","1998212","2061014","2124869","2189019","2253133","2317206","2381182","2444916","2508883","2573995","2639916"
"Population, total","SP.POP.TOTL","Georgia","GEO","4119900","4467700","4802000","4077131","3756441","3728874","3717668","3719414","3725276","3727505","3728004","3726549","3720161","3722716","3708610"
"Population, total","SP.POP.TOTL","Germany","DEU","78169289","78288576","79433029","82211508","80274983","80425823","80645605","80982500","81686611","82348669","82657002","82905782","83092962","83160871","83196078"
"Population, total","SP.POP.TOTL","Ghana","GHA","8861895","11865246","15446982","19665502","26205941","26858762","27525597","28196358","28870939","29554303","30222262","30870641","31522290","32180401","32833031"
"Population, total","SP.POP.TOTL","Gibraltar","GIB","26685","28734","27317","27741","31701","32160","32411","32452","32520","32565","32602","32648","32685","32709","32669"
"Population, total","SP.POP.TOTL","Greece","GRC","8792806","9642505","10196792","10805808","11104899","11045011","10965211","10892413","10820883","10775971","10754679","10732882","10721582","10698599","10569207"
"Population, total","SP.POP.TOTL","Greenland","GRL","46400","50200","55600","56200","56890","56810","56483","56295","56114","56186","56172","56023","56225","56367","56653"
"Population, total","SP.POP.TOTL","Grenada","GRD","98794","94838","99047","107432","114918","115912","116945","117972","118980","119966","120921","121838","122724","123663","124610"
"Population, total","SP.POP.TOTL","Guam","GUM","88300","110286","138263","160188","165649","166392","167054","167543","167978","168346","168606","168678","168624","169231","170534"
"Population, total","SP.POP.TOTL","Guatemala","GTM","5455197","6890346","9050115","11589761","14521515","14781942","15043981","15306316","15567419","15827690","16087418","16346950","16604026","16858333","17109746"
"Population, total","SP.POP.TOTL","Guinea","GIN","4222374","4972609","6354145","8336967","10527712","10788692","11055430","11333365","11625998","11930985","12240789","12554864","12877539","13205153","13531906"
"Population, total","SP.POP.TOTL","Guinea-Bissau","GNB","591663","831462","973551","1230849","1609017","1652717","1697753","1743309","1788919","1834552","1879826","1924955","1970457","2015828","2060721"
"Population, total","SP.POP.TOTL","Guyana","GUY","705261","778176","747116","759051","744230","743966","747420","751115","755031","759087","763252","785514","798753","797202","804567"
"Population, total","SP.POP.TOTL","Haiti","HTI","4680812","5646676","6925331","8360225","9954312","10108539","10261206","10412740","10563757","10713849","10863543","11012421","11160438","11306801","11447569"
"Population, total","SP.POP.TOTL","Honduras","HND","2782753","3777990","5053234","6656725","8622504","8792367","8960657","9127846","9294505","9460798","9626842","9792850","9958829","10121763","10278345"
"Population, total","SP.POP.TOTL","Hong Kong SAR, China","HKG","3959000","5063100","5704500","6665000","7071600","7150100","7178900","7229500","7291300","7336600","7393200","7452600","7507900","7481000","7413100"
"Population, total","SP.POP.TOTL","Hungary","HUN","10337910","10711122","10373988","10210971","9971727","9920362","9893082","9866468","9843028","9814023","9787966","9775564","9771141","9750149","9709891"
"Population, total","SP.POP.TOTL","Iceland","ISL","204438","228138","254826","281205","319014","320716","323764","327386","330815","335439","343400","352721","360563","366463","372520"
"Population, total","SP.POP.TOTL","India","IND","557501301","696828385","870452165","1059633675","1257621191","1274487215","1291132063","1307246509","1322866505","1338636340","1354195680","1369003306","1383112050","1396387127","1407563842"
"Population, total","SP.POP.TOTL","Indonesia","IDN","115228394","148177096","182159874","214072421","247099697","250222695","253275918","256229761","259091970","261850182","264498852","267066843","269582878","271857970","273753191"
"Population, total","SP.POP.TOTL","Iran, Islamic Rep.","IRN","28449705","38520664","55793629","65544383","76342971","77324451","78458928","79961672","81790841","83306231","84505076","85617562","86564202","87290193","87923432"
"Population, total","SP.POP.TOTL","Iraq","IRQ","9811347","13653369","17658381","24628858","32378061","33864447","35481800","36746488","37757813","38697943","39621162","40590700","41563520","42556984","43533592"
"Population, total","SP.POP.TOTL","Ireland","IRL","2957250","3412800","3513974","3805174","4580084","4599533","4623816","4657740","4701957","4755335","4807388","4867316","4934340","4985382","5033164"
"Population, total","SP.POP.TOTL","Isle of Man","IMN","55298","64022","68865","75562","84350","84338","84144","83896","83593","83450","83580","83775","83933","84046","84263"
"Population, total","SP.POP.TOTL","Israel","ISR","2974000","3878000","4660000","6289000","7765800","7910500","8059500","8215700","8380100","8546000","8713300","8882800","9054000","9215100","9371400"
"Population, total","SP.POP.TOTL","Italy","ITA","53821850","56433883","56719240","56942108","59379449","59539717","60233948","60789140","60730582","60627498","60536709","60421760","59729081","59438851","59133173"
"Population, total","SP.POP.TOTL","Jamaica","JAM","1859091","2135546","2392030","2612205","2746169","2759817","2773129","2784543","2794445","2802695","2808376","2811835","2813773","2820436","2827695"
"Population, total","SP.POP.TOTL","Japan","JPN","103403000","116807000","123478000","126843000","127833000","127629000","127445000","127276000","127141000","127076000","126972000","126811000","126633000","126261000","125681593"
"Population, total","SP.POP.TOTL","Jordan","JOR","1557374","2216903","3480587","5056174","7109980","7211863","7694814","8658026","9494246","9964656","10215381","10459865","10698683","10928721","11148278"
"Population, total","SP.POP.TOTL","Kazakhstan","KAZ","12265305","14172710","16348000","14883626","16557202","16792090","17035551","17288285","17542806","17794055","18037776","18276452","18513673","18755666","19191356"
"Population, total","SP.POP.TOTL","Kenya","KEN","11473087","16187124","23162269","30851606","42635144","43725806","44792368","45831863","46851488","47894670","48948137","49953304","50951450","51985780","53005614"
"Population, total","SP.POP.TOTL","Kiribati","KIR","57437","60813","75124","88826","109871","111618","113311","114985","116707","118513","120362","122261","124241","126463","128874"
"Population, total","SP.POP.TOTL","Korea, Dem. People's Rep.","PRK","14996879","17973650","20799523","23367059","24783789","24887770","25001819","25126131","25258015","25389611","25516321","25638149","25755441","25867467","25971909"
"Population, total","SP.POP.TOTL","Korea, Rep.","KOR","32240827","38123775","42869283","47008111","49936638","50199853","50428893","50746659","51014947","51217803","51361911","51585058","51764822","51836239","51769539"
"Population, total","SP.POP.TOTL","Kosovo","XKX","1238238","1589395","1964986","1823286","1799338","1807106","1818117","1812771","1788196","1777557","1791003","1797085","1788878","1790133","1786038"
"Population, total","SP.POP.TOTL","Kuwait","KWT","802786","1493870","1674938","1934901","3143825","3394663","3646518","3761584","3908743","4048085","4124904","4317185","4441100","4360444","4250114"
"Population, total","SP.POP.TOTL","Kyrgyz Republic","KGZ","2959900","3617400","4391200","4898400","5514600","5607200","5719600","5835500","5956900","6079500","6198200","6322800","6456200","6579900","6773400"
"Population, total","SP.POP.TOTL","Lao PDR","LAO","2675283","3297519","4314443","5430853","6416327","6508803","6600742","6691454","6787419","6891363","6997917","7105006","7212053","7319399","7425057"
"Population, total","SP.POP.TOTL","Latvia","LVA","2359164","2511701","2663151","2367550","2059709","2034319","2012647","1993782","1977527","1959537","1942248","1927174","1913822","1900449","1884490"
"Population, total","SP.POP.TOTL","Lebanon","LBN","2381791","2963702","3593700","4320642","5045056","5178337","5678851","6274342","6398940","6258619","6109252","5950839","5781907","5662923","5592631"
"Population, total","SP.POP.TOTL","Lesotho","LSO","1023481","1407672","1798997","1998630","2037677","2054718","2073939","2095242","2118521","2143872","2170617","2198017","2225702","2254100","2281454"
"Population, total","SP.POP.TOTL","Liberia","LBR","1463563","1932169","2209731","2895224","4181150","4331740","4427313","4519398","4612329","4706097","4796631","4889391","4985289","5087584","5193416"
"Population, total","SP.POP.TOTL","Libya","LBY","1909177","2962720","4236983","5154790","6188132","5869870","5985221","6097764","6192235","6282196","6378261","6477793","6569088","6653942","6735277"
"Population, total","SP.POP.TOTL","Liechtenstein","LIE","21089","25003","28765","33026","36189","36505","36806","37096","37355","37609","37889","38181","38482","38756","39039"
"Population, total","SP.POP.TOTL","Lithuania","LTU","3139689","3413202","3697838","3499536","3028115","2987773","2957689","2932367","2904910","2868231","2828403","2801543","2794137","2794885","2800839"
"Population, total","SP.POP.TOTL","Luxembourg","LUX","339171","364150","381850","436300","518347","530946","543360","556319","569604","582014","596336","607950","620001","630419","640064"
"Population, total","SP.POP.TOTL","Macao SAR, China","MAC","247284","245332","350227","431896","571003","582766","593374","604167","615239","626688","638609","650991","663653","676283","686607"
"Population, total","SP.POP.TOTL","Madagascar","MDG","6639751","8948162","11882762","16216431","22348158","22966240","23588073","24215976","24850912","25501941","26169542","26846541","27533134","28225177","28915653"
"Population, total","SP.POP.TOTL","Malawi","MWI","4625141","6267369","9539665","11229387","15146094","15581251","16024775","16477966","16938942","17405624","17881167","18367883","18867337","19377061","19889742"
"Population, total","SP.POP.TOTL","Malaysia","MYS","10306508","13215707","17517054","22945150","29184133","29660212","30134807","30606459","31068833","31526418","31975806","32399271","32804020","33199993","33573874"
"Population, total","SP.POP.TOTL","Maldives","MDV","123243","164887","224957","282507","374440","387539","400728","416738","435582","454252","472442","489758","504508","514438","521457"
"Population, total","SP.POP.TOTL","Mali","MLI","6153587","7372581","8945026","11239101","16039734","16514687","17004033","17551814","18112907","18700106","19311355","19934298","20567424","21224040","21904983"
"Population, total","SP.POP.TOTL","Malta","MLT","302650","316645","354170","390087","416268","420028","425967","434558","445053","455356","467999","484630","504062","515332","518536"
"Population, total","SP.POP.TOTL","Marshall Islands","MHL","23969","31988","46047","54224","52971","52203","51352","50419","49410","48329","47187","45989","44728","43413","42050"
"Population, total","SP.POP.TOTL","Mauritania","MRT","1122198","1506694","2006027","2695003","3524249","3636113","3742959","3843174","3946220","4051890","4160015","4270712","4383849","4498604","4614974"
"Population, total","SP.POP.TOTL","Mauritius","MUS","826000","966039","1058775","1186873","1252404","1255882","1258927","1261208","1262879","1263747","1264887","1265577","1265985","1266014","1266334"
"Population, total","SP.POP.TOTL","Mexico","MEX","50289306","67705186","81720428","97873442","114150481","115755909","117290686","118755887","120149897","121519221","122839258","124013861","125085311","125998302","126705138"
"Population, total","SP.POP.TOTL","Micronesia, Fed. Sts.","FSM","58989","76299","98603","111709","107887","108232","108609","109024","109462","109925","110430","110929","111379","112106","113131"
"Population, total","SP.POP.TOTL","Moldova","MDA","2456514","2716068","2965978","2924668","2860699","2860324","2859558","2857815","2835978","2803186","2755189","2707203","2664224","2635130","2595809"
"Population, total","SP.POP.TOTL","Monaco","MCO","24270","27076","30329","32465","33945","34700","35425","36110","36760","37071","37044","37029","37034","36922","36686"
"Population, total","SP.POP.TOTL","Mongolia","MNG","1293880","1697780","2161433","2450979","2743938","2792349","2845153","2902823","2964749","3029555","3096030","3163991","3232430","3294335","3347782"
"Population, total","SP.POP.TOTL","Montenegro","MNE","512407","572608","606372","604950","620079","620601","621207","621810","622159","622303","622373","622227","622028","621306","619211"
"Population, total","SP.POP.TOTL","Morocco","MAR","15274351","19678444","24570814","28554415","32903699","33352169","33803527","34248603","34680458","35107264","35528115","35927511","36304408","36688772","37076584"
"Population, total","SP.POP.TOTL","Mozambique","MOZ","8411676","11413587","13303459","17768505","23760421","24487611","25251731","26038704","26843246","27696493","28569441","29423878","30285595","31178239","32077072"
"Population, total","SP.POP.TOTL","Myanmar","MMR","27284112","33465781","40099553","45538332","49794522","50218185","50648334","51072436","51483949","51892349","52288341","52666014","53040212","53423198","53798084"
"Population, total","SP.POP.TOTL","Namibia","NAM","754467","975994","1369011","1819141","2132340","2167470","2204510","2243001","2282704","2323352","2364534","2405680","2446644","2489098","2530151"
"Population, total","SP.POP.TOTL","Nauru","NRU","6663","7635","9598","10377","10283","10444","10694","10940","11185","11437","11682","11924","12132","12315","12511"
"Population, total","SP.POP.TOTL","Nepal","NPL","12501285","15600442","19616530","24559500","27266399","27330694","27381555","27462106","27610325","27861186","28183426","28506712","28832496","29348627","30034989"
"Population, total","SP.POP.TOTL","Netherlands","NLD","13038526","14149800","14951510","15925513","16693074","16754962","16804432","16865008","16939923","17030314","17131296","17231624","17344874","17441500","17533044"
"Population, total","SP.POP.TOTL","New Caledonia","NCL","112000","140050","170899","213230","254350","259000","263650","268050","269460","270220","270810","271170","271240","271080","270390"
"Population, total","SP.POP.TOTL","New Zealand","NZL","2810700","3112900","3329800","3857700","4384000","4408100","4442100","4516500","4609400","4714100","4813600","4900600","4979200","5090200","5111300"
"Population, total","SP.POP.TOTL","Nicaragua","NIC","2444767","3303309","4227820","5123222","5942553","6030607","6119379","6208676","6298598","6389235","6480532","6572233","6663924","6755895","6850540"
"Population, total","SP.POP.TOTL","Niger","NER","4669708","6173177","8370648","11622665","17283112","17954407","18653199","19372014","20128124","20921743","21737922","22577058","23443393","24333639","25252722"
"Population, total","SP.POP.TOTL","Nigeria","NGA","55569264","72951439","95214257","122851984","165463745","170075932","174726123","179379016","183995785","188666931","193495907","198387623","203304492","208327405","213401323"
"Population, total","SP.POP.TOTL","North Macedonia","MKD","1656783","1907023","2044174","2026350","1937398","1929821","1922716","1917557","1912430","1906313","1898657","1889051","1876262","1856124","1837114"
"Population, total","SP.POP.TOTL","Northern Mariana Islands","MNP","10143","17613","48002","80338","52520","52359","52141","51856","51514","51133","50729","50304","49858","49587","49481"
"Population, total","SP.POP.TOTL","Norway","NOR","3875763","4085620","4241473","4490967","4953088","5018573","5079623","5137232","5188607","5234519","5276968","5311916","5347896","5379475","5408320"
"Population, total","SP.POP.TOTL","Oman","OMN","670693","1017462","1804524","2344253","3206870","3535579","3816680","4009267","4191776","4398070","4541854","4601157","4602768","4543399","4520471"
"Population, total","SP.POP.TOTL","Pakistan","PAK","59290872","80624057","115414069","154369924","198602738","202205861","205337562","208251628","210969298","213524840","216379655","219731479","223293280","227196741","231402117"
"Population, total","SP.POP.TOTL","Palau","PLW","11366","12252","15293","19726","18240","17946","17805","17796","17794","17816","17837","17864","17916","17972","18024"
"Population, total","SP.POP.TOTL","Panama","PAN","1516188","1956987","2449968","3001731","3688674","3754862","3821556","3888793","3957099","4026336","4096063","4165255","4232532","4294396","4351267"
"Population, total","SP.POP.TOTL","Papua New Guinea","PNG","2489059","3104788","3864972","5508297","7806637","8026545","8245627","8464153","8682174","8899169","9114796","9329227","9542486","9749640","9949437"
"Population, total","SP.POP.TOTL","Paraguay","PRY","2408787","3078912","4059195","5123819","5843939","5923322","6005652","6090721","6177950","6266615","6355404","6443328","6530026","6618695","6703799"
"Population, total","SP.POP.TOTL","Peru","PER","13562371","17492406","22109099","26654439","29477721","29749589","30038809","30353951","30711863","31132779","31605486","32203944","32824861","33304756","33715471"
"Population, total","SP.POP.TOTL","Philippines","PHL","37435586","48419546","61558898","77958223","96337913","98032317","99700107","101325201","103031365","104875266","106738501","108568836","110380804","112190977","113880328"
"Population, total","SP.POP.TOTL","Poland","POL","32664300","35574150","38110782","38258629","38063255","38063164","38040196","38011735","37986412","37970087","37974826","37974750","37965475","37899070","37747124"
"Population, total","SP.POP.TOTL","Portugal","PRT","8680431","9766312","9983218","10289898","10557560","10514844","10457295","10401062","10358076","10325452","10300300","10283822","10286263","10297081","10361831"
"Population, total","SP.POP.TOTL","Puerto Rico","PRI","2718000","3206000","3537000","3810605","3678732","3634488","3593077","3534874","3473232","3406672","3325286","3193354","3193694","3281557","3262693"
"Population, total","SP.POP.TOTL","Qatar","QAT","118007","277450","441675","645937","1804171","1905660","2035501","2214465","2414573","2595166","2711755","2766732","2807235","2760385","2688235"
"Population, total","SP.POP.TOTL","Romania","ROU","20250398","22207282","23201835","22442971","20147528","20058035","19983693","19908979","19815616","19702267","19588715","19473970","19371648","19265250","19122059"
"Population, total","SP.POP.TOTL","Russian Federation","RUS","130404000","139010000","147969406","146596869","143018195","143378447","143805638","144237223","144640716","145015460","145293260","145398106","145453291","145245148","144746762"
